---                                                | Device type                                                  | 1000-00h| 0x00020192 | 0x00020192 | 0x00020192 | 0x00020192 | 0x00020192 | 0x00020192
VDI VDO                                            | VDI3 Terminal Function Selection                             | 2017-05h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI3 Terminal Logic Selection                                | 2017-06h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI4 Terminal Function Selection                             | 2017-07h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI4 Terminal Logic Selection                                | 2017-08h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI5 Terminal Function Selection                             | 2017-09h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI5 Terminal Logic Selection                                | 2017-0Ah| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI6 Terminal Function Selection                             | 2017-0Bh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI6 Terminal Logic Selection                                | 2017-0Ch| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI7 Terminal Function Selection                             | 2017-0Dh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI7 Terminal Logic Selection                                | 2017-0Eh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI8 Terminal Function Selection                             | 2017-0Fh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI8 Terminal Logic Selection                                | 2017-10h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI9 Terminal Function Selection                             | 2017-11h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI9 Terminal Logic Selection                                | 2017-12h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI10 Terminal Function Selection                            | 2017-13h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI10 Terminal Logic Selection                               | 2017-14h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI11 Terminal Function Selection                            | 2017-15h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI11 Terminal Logic Selection                               | 2017-16h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI12 Terminal Function Selection                            | 2017-17h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI12 Terminal Logic Selection                               | 2017-18h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI13 Terminal Function Selection                            | 2017-19h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI13 Terminal Logic Selection                               | 2017-1Ah| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI14 Terminal Function Selection                            | 2017-1Bh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI14 Terminal Logic Selection                               | 2017-1Ch| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI15 Terminal Function Selection                            | 2017-1Dh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI15 Terminal Logic Selection                               | 2017-1Eh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI16 Terminal Function Selection                            | 2017-1Fh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDI16 Terminal Logic Selection                               | 2017-20h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO virtual level                                            | 2017-21h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO1 Terminal Function Selection                             | 2017-22h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO1 Terminal Logic Level Selection                          | 2017-23h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO2 Terminal Function Selection                             | 2017-24h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO2 Terminal Logic Level Selection                          | 2017-25h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO3 Terminal Function Selection                             | 2017-26h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO3 Terminal Logic Level Selection                          | 2017-27h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO4 Terminal Function Selection                             | 2017-28h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO4 Terminal Logic Level Selection                          | 2017-29h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO5 Terminal Function Selection                             | 2017-2Ah| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO5 Terminal Logic Level Selection                          | 2017-2Bh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO6 Terminal Function Selection                             | 2017-2Ch| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO6 Terminal Logic Level Selection                          | 2017-2Dh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO7 Terminal Function Selection                             | 2017-2Eh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO7 Terminal Logic Level Selection                          | 2017-2Fh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO8 Terminal Function Selection                             | 2017-30h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO8 Terminal Logic Level Selection                          | 2017-31h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO9 Terminal Function Selection                             | 2017-32h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO9 Terminal Logic Level Selection                          | 2017-33h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO10 Terminal Function Selection                            | 2017-34h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO10 Terminal Logic Level Selection                         | 2017-35h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO11 Terminal Function Selection                            | 2017-36h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO11 Terminal Logic Level Selection                         | 2017-37h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO12 Terminal Function Selection                            | 2017-38h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO12 Terminal Logic Level Selection                         | 2017-39h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO13 Terminal Function Selection                            | 2017-3Ah| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO13 Terminal Logic Level Selection                         | 2017-3Bh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO14 Terminal Function Selection                            | 2017-3Ch| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO14 Terminal Logic Level Selection                         | 2017-3Dh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO15 Terminal Function Selection                            | 2017-3Eh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO15 Terminal Logic Level Selection                         | 2017-3Fh| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO16 Terminal Function Selection                            | 2017-40h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
VDI VDO                                            | VDO16 Terminal Logic Level Selection                         | 2017-41h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Servo Related Variables Read via Communication     | SubIndex 000                                                 | 2030-00h| 0x04       | 0x04       | 0x04       | 0x04       | 0x04       | 0x04
Servo Related Variables Read via Communication     | Servo state read via communication                           | 2030-01h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Servo Related Variables Read via Communication     | DO functionstate 1 read via communication                    | 2030-02h| 0x0004     | 0x0004     | 0x0004     | 0x0004     | 0x0004     | 0x0004
Servo Related Variables Read via Communication     | DO function state 2 read via communication                   | 2030-03h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Servo Related Variables Read via Communication     | Reverse                                                      | 2030-04h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Servo Related Variables Set via Communication      | SubIndex 000                                                 | 2031-00h| 0x05       | 0x05       | 0x05       | 0x05       | 0x05       | 0x05
Servo Related Variables Set via Communication      | VDI virtuallevel set via communication                       | 2031-01h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
Servo Related Variables Set via Communication      | DO state set via communication                               | 2031-05h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
---                                                | Error code                                                   | 603F-00h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
---                                                | Controlword                                                  | 6040-00h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
---                                                | Statusword                                                   | 6041-00h| 0x0240     | 0x0240     | 0x0240     | 0x0240     | 0x0240     | 0x0240
---                                                | Quick stop option code                                       | 605A-00h| 0x0002     | 0x0002     | 0x0002     | 0x0002     | 0x0002     | 0x0002
---                                                | Halt option Code                                             | 605D-00h| 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001     | 0x0001
---                                                | Modes of operation                                           | 6060-00h| 0x08       | 0x08       | 0x08       | 0x08       | 0x08       | 0x08
---                                                | Modes of operation display                                   | 6061-00h| 0x08       | 0x08       | 0x08       | 0x08       | 0x08       | 0x08
---                                                | Position demand value                                        | 6062-00h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
---                                                | Position actual value*                                       | 6063-00h| 0x0055507c | 0x0586c195 | 0xffbd54d2 | 0x004edf44 | 0xf6b7dc1b | 0x032ccfc1
---                                                | Position actual value                                        | 6064-00h| 0x0055507c | 0x0586c195 | 0xffbd54cd | 0x004edf4c | 0xf6b7dc1b | 0x032ccfc9
---                                                | Following error window                                       | 6065-00h| 0x01a36ae7 | 0x01a36ae7 | 0x01a36ae7 | 0x01a36ae7 | 0x01a36ae7 | 0x01a36ae7
---                                                | Position window                                              | 6067-00h| 0x000016f0 | 0x000016f0 | 0x000016f0 | 0x000016f0 | 0x000016f0 | 0x000016f0
---                                                | Position window time                                         | 6068-00h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
---                                                | Velocity actual value                                        | 606C-00h| 0xffffc963 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
---                                                | Velocity window                                              | 606D-00h| 0x000a     | 0x000a     | 0x000a     | 0x000a     | 0x000a     | 0x000a
---                                                | Velocity window time                                         | 606E-00h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
---                                                | Target torque                                                | 6071-00h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
---                                                | Max Torque                                                   | 6072-00h| 0x1388     | 0x1388     | 0x1388     | 0x0dac     | 0x0dac     | 0x0dac
---                                                | Torque demand                                                | 6074-00h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
---                                                | Torque actual value                                          | 6077-00h| 0xffff     | 0x0000     | 0xffff     | 0xfffd     | 0xfffe     | 0x0004
---                                                | Target position                                              | 607A-00h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
---                                                | Home offset                                                  | 607C-00h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
Software position limit                            | SubIndex 000                                                 | 607D-00h| 0x02       | 0x02       | 0x02       | 0x02       | 0x02       | 0x02
Software position limit                            | Min position limit                                           | 607D-01h| 0x80000000 | 0x80000000 | 0x80000000 | 0x80000000 | 0x80000000 | 0x80000000
Software position limit                            | Max position limit                                           | 607D-02h| 0x7fffffff | 0x7fffffff | 0x7fffffff | 0x7fffffff | 0x7fffffff | 0x7fffffff
---                                                | Polarity                                                     | 607E-00h| 0x00       | 0x00       | 0x00       | 0x00       | 0x00       | 0x00
---                                                | Max profile velocity                                         | 607F-00h| 0x32000000 | 0x32000000 | 0x32000000 | 0x32000000 | 0x32000000 | 0x32000000
---                                                | Profile velocity                                             | 6081-00h| 0x00d55555 | 0x00d55555 | 0x00d55555 | 0x00d55555 | 0x00d55555 | 0x00d55555
---                                                | Profile acceleration                                         | 6083-00h| 0x41555555 | 0x41555555 | 0x41555555 | 0x41555555 | 0x41555555 | 0x41555555
---                                                | Profile deceleration                                         | 6084-00h| 0x41555555 | 0x41555555 | 0x41555555 | 0x41555555 | 0x41555555 | 0x41555555
---                                                | Quick stop deceleration                                      | 6085-00h| 0x41555555 | 0x41555555 | 0x41555555 | 0x41555555 | 0x41555555 | 0x41555555
---                                                | Motion profile type                                          | 6086-00h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
---                                                | Torque slope                                                 | 6087-00h| 0xffffffff | 0xffffffff | 0xffffffff | 0xffffffff | 0xffffffff | 0xffffffff
Gear ratio                                         | SubIndex 000                                                 | 6091-00h| 0x02       | 0x02       | 0x02       | 0x02       | 0x02       | 0x02
Gear ratio                                         | Motor revolutions                                            | 6091-01h| 0x00000001 | 0x00000001 | 0x00000001 | 0x00000001 | 0x00000001 | 0x00000001
Gear ratio                                         | Shaft revolutions                                            | 6091-02h| 0x00000001 | 0x00000001 | 0x00000001 | 0x00000001 | 0x00000001 | 0x00000001
---                                                | Homing method                                                | 6098-00h| 0x01       | 0x01       | 0x01       | 0x01       | 0x01       | 0x01
Homing speeds                                      | Number of entries                                            | 6099-00h| 0x02       | 0x02       | 0x02       | 0x02       | 0x02       | 0x02
Homing speeds                                      | Speed during search for switch                               | 6099-01h| 0x00d55555 | 0x00d55555 | 0x00d55555 | 0x00d55555 | 0x00d55555 | 0x00d55555
Homing speeds                                      | Speed during search for zero                                 | 6099-02h| 0x00155555 | 0x00155555 | 0x00155555 | 0x00155555 | 0x00155555 | 0x00155555
---                                                | Homing acceleration                                          | 609A-00h| 0x41555555 | 0x41555555 | 0x41555555 | 0x41555555 | 0x41555555 | 0x41555555
---                                                | Position offset                                              | 60B0-00h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
---                                                | Velocity offset                                              | 60B1-00h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
---                                                | Torque offset                                                | 60B2-00h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
---                                                | Touch probe function                                         | 60B8-00h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
---                                                | Touch Probe Status                                           | 60B9-00h| 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000     | 0x0000
---                                                | Touch Probe pos 1 pos value                                  | 60BA-00h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
---                                                | Touch Probe pos 1 neg value                                  | 60BB-00h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
---                                                | Touch Probe pos 2 pos value                                  | 60BC-00h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
---                                                | Touch Probe pos 2 neg value                                  | 60BD-00h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
---                                                | Positive torque limit value                                  | 60E0-00h| 0x1388     | 0x1388     | 0x1388     | 0x0dac     | 0x0dac     | 0x0dac
---                                                | Negative torque limit value                                  | 60E1-00h| 0x1388     | 0x1388     | 0x1388     | 0x0dac     | 0x0dac     | 0x0dac
Support homing method                              | SubIndex 000                                                 | 60E3-00h| 0x1f       | 0x1f       | 0x1f       | 0x1f       | 0x1f       | 0x1f
Support homing method                              | Support homing method 1                                      | 60E3-01h| 0x0301     | 0x0301     | 0x0301     | 0x0301     | 0x0301     | 0x0301
Support homing method                              | Support homing method 2                                      | 60E3-02h| 0x0302     | 0x0302     | 0x0302     | 0x0302     | 0x0302     | 0x0302
Support homing method                              | Support homing method 3                                      | 60E3-03h| 0x0303     | 0x0303     | 0x0303     | 0x0303     | 0x0303     | 0x0303
Support homing method                              | Support homing method 4                                      | 60E3-04h| 0x0304     | 0x0304     | 0x0304     | 0x0304     | 0x0304     | 0x0304
Support homing method                              | Support homing method 5                                      | 60E3-05h| 0x0305     | 0x0305     | 0x0305     | 0x0305     | 0x0305     | 0x0305
Support homing method                              | Support homing method 6                                      | 60E3-06h| 0x0306     | 0x0306     | 0x0306     | 0x0306     | 0x0306     | 0x0306
Support homing method                              | Support homing method 7                                      | 60E3-07h| 0x0307     | 0x0307     | 0x0307     | 0x0307     | 0x0307     | 0x0307
Support homing method                              | Support homing method 8                                      | 60E3-08h| 0x0308     | 0x0308     | 0x0308     | 0x0308     | 0x0308     | 0x0308
Support homing method                              | Support homing method 9                                      | 60E3-09h| 0x0309     | 0x0309     | 0x0309     | 0x0309     | 0x0309     | 0x0309
Support homing method                              | Support homing method 10                                     | 60E3-0Ah| 0x030a     | 0x030a     | 0x030a     | 0x030a     | 0x030a     | 0x030a
Support homing method                              | Support homing method 11                                     | 60E3-0Bh| 0x030b     | 0x030b     | 0x030b     | 0x030b     | 0x030b     | 0x030b
Support homing method                              | Support homing method 12                                     | 60E3-0Ch| 0x030c     | 0x030c     | 0x030c     | 0x030c     | 0x030c     | 0x030c
Support homing method                              | Support homing method 13                                     | 60E3-0Dh| 0x030d     | 0x030d     | 0x030d     | 0x030d     | 0x030d     | 0x030d
Support homing method                              | Support homing method 14                                     | 60E3-0Eh| 0x030e     | 0x030e     | 0x030e     | 0x030e     | 0x030e     | 0x030e
Support homing method                              | Support homing method 15                                     | 60E3-0Fh| 0x0311     | 0x0311     | 0x0311     | 0x0311     | 0x0311     | 0x0311
Support homing method                              | Support homing method 16                                     | 60E3-10h| 0x0312     | 0x0312     | 0x0312     | 0x0312     | 0x0312     | 0x0312
Support homing method                              | Support homing method 17                                     | 60E3-11h| 0x0313     | 0x0313     | 0x0313     | 0x0313     | 0x0313     | 0x0313
Support homing method                              | Support homing method 18                                     | 60E3-12h| 0x0314     | 0x0314     | 0x0314     | 0x0314     | 0x0314     | 0x0314
Support homing method                              | Support homing method 19                                     | 60E3-13h| 0x0315     | 0x0315     | 0x0315     | 0x0315     | 0x0315     | 0x0315
Support homing method                              | Support homing method 20                                     | 60E3-14h| 0x0316     | 0x0316     | 0x0316     | 0x0316     | 0x0316     | 0x0316
Support homing method                              | Support homing method 21                                     | 60E3-15h| 0x0317     | 0x0317     | 0x0317     | 0x0317     | 0x0317     | 0x0317
Support homing method                              | Support homing method 22                                     | 60E3-16h| 0x0318     | 0x0318     | 0x0318     | 0x0318     | 0x0318     | 0x0318
Support homing method                              | Support homing method 23                                     | 60E3-17h| 0x0319     | 0x0319     | 0x0319     | 0x0319     | 0x0319     | 0x0319
Support homing method                              | Support homing method 24                                     | 60E3-18h| 0x031a     | 0x031a     | 0x031a     | 0x031a     | 0x031a     | 0x031a
Support homing method                              | Support homing method 25                                     | 60E3-19h| 0x031b     | 0x031b     | 0x031b     | 0x031b     | 0x031b     | 0x031b
Support homing method                              | Support homing method 26                                     | 60E3-1Ah| 0x031c     | 0x031c     | 0x031c     | 0x031c     | 0x031c     | 0x031c
Support homing method                              | Support homing method 27                                     | 60E3-1Bh| 0x031d     | 0x031d     | 0x031d     | 0x031d     | 0x031d     | 0x031d
Support homing method                              | Support homing method 28                                     | 60E3-1Ch| 0x031e     | 0x031e     | 0x031e     | 0x031e     | 0x031e     | 0x031e
Support homing method                              | Support homing method 29                                     | 60E3-1Dh| 0x0321     | 0x0321     | 0x0321     | 0x0321     | 0x0321     | 0x0321
Support homing method                              | Support homing method 30                                     | 60E3-1Eh| 0x0322     | 0x0322     | 0x0322     | 0x0322     | 0x0322     | 0x0322
Support homing method                              | Support homing method 31                                     | 60E3-1Fh| 0x0323     | 0x0323     | 0x0323     | 0x0323     | 0x0323     | 0x0323
---                                                | Actual Position Calucation Method                            | 60E6-00h| 0x00       | 0x00       | 0x00       | 0x00       | 0x00       | 0x00
---                                                | Following error actual value                                 | 60F4-00h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
---                                                | Position demand internal value                               | 60FC-00h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
---                                                | Digital inputs                                               | 60FD-00h| 0x18000000 | 0x18000000 | 0x18000000 | 0x18000000 | 0x18000000 | 0x18000000
Digital outputs                                    | SubIndex 000                                                 | 60FE-00h| 0x02       | 0x02       | 0x02       | 0x02       | 0x02       | 0x02
Digital outputs                                    | Physical outputs                                             | 60FE-01h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
---                                                | Target velocity                                              | 60FF-00h| 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000 | 0x00000000
---                                                | Supported drive modes                                        | 6502-00h| 0x000003ad | 0x000003ad | 0x000003ad | 0x000003ad | 0x000003ad | 0x000003ad
